Especie,Lechuga,Choclo,Tomate al aire libre,Tomate invernadero,Zanahoria,Repollo,Alcachofa,Cebolla de Guarda,Brócoli ,Ajo,Poroto Verde,Haba,Apio,Zapallo Italiano,Orégano,Cebada,Arveja seca,Garbanzo,Papa,Poroto,Almendro,Nogal,Damasco,Duraznero cons fresco,Duraznero conservero,Ciruelo europeo,Manzano rojo,Limonero,Naranjo,Mandarino,Olivo,Palto,Papayo,Tuna,Vid de mesa,Vid vinifera,Vid pisquera,Chirimoyo,Granado
ENE,,23,88,,,,,,,,,,,22,18,,,,15,24,55,,30,20,16,,,,,,,7,100,,57,,,,
FEB,,,88,,,,,8,7,25,,,,,,,,5,15,24,55,,30,,16,20,,,,,,7,100,25,57,,,,
MAR,,,,,12,,,8,,25,,,,,,,,,15,,,14,30,,,,,5,,,,7,100,25,,45,22,,
ABR,10,,,,,,,,,,50,3,,,,,,,15,,,14,30,,,16,60,5,,60,,7,100,,,45,22,,90
MAY,,,,,,6,,,36,,,,9,,,,1,,,,,,30,,,16,60,5,,60,20,,100,,15,45,,,18
JUN,18,,,12,,,,,,,,,,,,2,1,,,,20,16,,10,14,,17,5,48,60,20,,100,,15,10,12,25,
JUL,,,,12,12,,,,,,,,,,,,,,,,,16,,10,14,,17,5,48,60,20,,100,,15,10,12,120,
AGO,,,,,12,49,21,,,,,,78,,,,,,,,,,30,,,,,5,48,,20,7,100,,,,,120,
SEP,,10,,,,,21,1,,,2,,,,,,40,,12,,,14,30,,,,,5,48,,,7,100,,,,,120,
OCT,,10,8,138,,,21,,,,2,22,,5,,,40,,12,4,,14,30,,,,,5,48,,,7,100,8,,,,120,
NOV,,,,138,,,21,,,20,2,,,,,,,3,12,,,,30,6,,,,5,,,,7,100,,,,,120,
DIC,,,,138,,,21,,,,,,,22,,,,,12,,,,30,6,,,,5,,,,7,100,,,,,,
