Especie,JornTotal,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Zapallo temp/guard,44,,,20,20,,,,,2,2,,
Lechuga,70,11,24,24,,,,,,,,,11
Choclo,27,25,,,,,,,,2,,,
Tomate al aire libre,170,82,82,,,,,,,,6,,
Tomate invernadero,510,,,,,,12,12,,,162,162,162
Zanahoria,104,2,,,17,17,17,17,17,17,,,
Repollo,78,5,5,,,34,34,,,,,,
Alcachofa,172,,5,5,,,,27,27,27,27,27,27
Cebolla de Guarda,26,,12,12,,,,,,1,1,,
Cebolla temprana,49,,,,,1,,,,,16,16,16
Brócoli,85,,,,,6,,,79,,,,
Ajo,136,,,32,,,,,,,,52,52
Betarraga,452,2,,,225,225,,,,,,,
Coliflor,76,,,,,,,,,6,,,70
Pimiento,147,,69,69,,,,,,,9,,
Haba,2,,,,,2,,,,,,,
Apio,98,8,,,,45,45,,,,,,
Zapallo Italiano,58,25,,,,,,,,8,,,25
Acelga,67,,7,,12,12,12,12,12,,,,
Arveja Verde,82,,,,,1,1,,,40,40,,
Espinaca,81,,,,,,,,,5,,76,
Melón,45,13,13,,,,,,,,6,,13
Pepino de ensalada,34,13,13,,,,,,,,8,,
Orégano,22,22,,,,,,,,,,,
Sandía,56,19,,,,,,,9,9,,,19
Ají,130,24,24,24,24,24,,,,5,5,,
Espárrago,116,,,,,,,,,58,58,,
Trigo,0.3,,,,,,,,0.3,,,,
Maíz,4.5,,,0.5,0.5,0.5,,,,1,1,1,
Cebada,9.7,,,,,,,,,2.5,,,7.2
Arroz,2,,,,,,,,,,1,1,
Avena,2,,,,,,,,,,,1,1
Garbanzo,9,,5,,,,,,2,2,,,
Lenteja,7.5,5.5,,,,2,,,,,,,
Papa,56,,,,,,56,,,,,,
Poroto,15,,,,11,,,,,,2,2,
Tabaco,113,,35,35,35,,,,,,8,,
Tomate Industrial,84,15,15,15,15,,,,,8,8,8,
Pimentón industrial,162,46,46,46,,,,,,,12,12,
Almendro,48,,22,22,,,,,,,4,,
Nogal,36,,,,21,9,,,,6,,,
Frambuesa,176,26,26,26,26,26,10,10,,,,,26
Arándano americano,354,,,,,21,21,21,,15,,138,138
Moras cultivadas,560,270,270,,,,20,,,,,,
Cerezo,210,23,,,,,,,37,,,,150
Nectarino,64,28,,,,,14,14,,,,4,4
Duraznero cons fresco,140,55,55,,,,30,,,,,,
Duraznero conservero,73,37,,,,,15,15,,,,3,3
Ciruelo europeo,77,55,,,,,11,11,,,,,
Ciruelo japonés,72,45,,,,,27,,,,,,
Manzano rojo,71,,37,,,14,14,,,,,6,
Manzano verde,290,40,40,40,,,25,25,,,40,40,40
Peral,86,,42,,,,18,18,,,,,8
Limonero,71,,7,7,7,7,7,8,,7,7,7,7
Naranjo,200,,,,,,40,40,40,40,40,,
Olivo,26,,,,,10,10,6,,,,,
Palto,166,8,,,,,,,30,30,30,30,38
Vid de mesa,166,,118,,,16,16,16,,,,,
Vid vinifera,28,,,10,10,,4,4,,,,,
Kiwi,61,,,,37,,12,12,,,,,
Granado,108,,,,90,18,,,,,,,
