Especie,JornTotal,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Zapallo temp/guard,18,,,,,,,,4,4,,,10
Lechuga,46,,,,,,10,,,18,18,,
Choclo,16,,,5,5,,,,3,3,,,
Tomate al aire libre,620,,,10,10,,100,100,100,100,100,100,
Repollo,26,,,,1,1,,,,12,12,,
Cebolla de guarda,44,,,,12,12,,,,10,10,,
Brócoli,18,,,,1,1,,,8,8,,,
Betarraga,60,,,22,22,,,,,8,8,,
Poroto Verde,13,,,,,1,,,,12,,,
Coliflor,32,,,,1,1,,,15,15,,,
Pimiento,78,,2,8,8,,,,,30,30,,
Haba,24,,8,8,,,4,4,,,,,
Zapallo Italiano,30,,,2,6,6,,,,8,8,,
Acelga,18,,,,1,1,,,,8,8,,
Arveja Verde,28,,8,8,,,,6,6,,,,
Melón,61,,,,,,,16,,15,15,15,
Pepino de ensalada,74,,,,12,12,,,,25,25,,
Orégano,20,5,,,,5,5,,,,,,5
Sandía,144,48,48,48,,,,,,,,,
Ají,44,,,,12,12,,,,10,10,,
Maíz,22,,,10,10,,,,1,1,,,
Papa,22,,,,,,,,5,,,17,
Limonero,92,20,20,20,20,,12,,,,,,
Naranjo,66,,,,,,22,22,22,,,,
Lima,530,,,,38,104,104,104,104,38,38,,
Olivo,120,,,,,35,35,25,25,,,,
Palto,60,,,,,15,15,15,15,,,,
Mango,72,,,24,24,24,,,,,,,
Tuna,40,,,20,20,,,,,,,,
Vid de mesa,118,,,,,14,14,,,,,45,45
Vid vinifera,26,,,,12,,7,7,,,,,
