Especie,JornTotal,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
Lechuga,63,,,,,,14,,,49,,,
Choclo,21,,21,,,,,,,,,,
Tomate al aire libre,145,70,70,,,,,,,,5,,
Poroto granado,125,25,25,,,,,,,,25,25,25
Zanahoria,116,57,57,,,,,,,2,,,
Cebolla de Guarda,275,35,35,35,,,,,,65,35,35,35
Betarraga,176,2,,,58,58,58,,,,,,
Poroto Verde,75,,,,,,,,,,25,25,25
Coliflor,35,,15,10,10,,,,,,,,
Haba,16,12,,,,,,,,4,,,
Apio,56,,,,,16,16,,,,8,8,8
Zapallo Italiano,28,,,,,,2,4,6,,8,8,
Acelga,186,,6,,,60,60,60,,,,,
Arveja Verde,86,,,,,,,1,1,,42,42,
Espinaca,22,,,,,,,,,2,10,10,
Melón,56,24,24,,,,,,,,8,,
Sandía,49,,42,,,,,,,,7,,
Ají,70,,6,,,16,16,16,16,,,,
Espárrago,105,,,,,,,,,,105,,
Trigo,0.2,,,,,,,,0.2,,,,
Arroz,4,,,,3,,,,,,1,,
Lenteja,7,,,,2,2,,,,,,,3
Papa,39,,,37,,,,,,,,2,
Poroto,32,,,12,12,,,,,,8,,
Lupino,1,1,,,,,,,,,,,
Avellano,26,,,21,,5,,,,,,,
Frambuesa,336,78,78,78,78,,12,12,,,,,
Arándano americano,273,,,,,,,,37,,,118,118
Cerezo,205,15,,,,10,10,10,,,,,160
Manzano rojo,119,,50,,,17,17,17,,,6,6,6
Peral,83,,20,20,,11,11,11,,,5,5,
Kiwi,164,,,60,60,,22,22,,,,,
